0,1,2,3
0.41,6.48,-2.42,-1.05574
-3.13,8.62,-5.60,-1.31968
-3.49,9.90,-8.77,-0.79181
-2.88,6.36,-2.61,-1.31968
-3.98,5.87,-7.24,-0.26394
-3.80,5.02,-9.13,-2.37542
-4.04,7.82,-2.18,-2.11149
2.48,12.82,-1.33,-2.63936
-2.03,9.23,-4.86,-2.11149
-5.14,9.23,-5.29,-2.11149
-3.98,6.85,-3.64,-1.05574
-5.14,9.78,-6.51,-0.79181
-1.91,8.37,-0.96,-2.11149
-2.27,6.06,0.99,-1.84755
-3.49,8.74,-5.11,-1.84755
-0.75,6.48,-4.44,-1.84755
1.26,4.96,6.66,-0.79181
-1.91,7.64,-1.14,-1.84755
-2.88,4.84,-9.80,-2.11149
1.63,-1.63,3.37,-1.84755
-2.09,3.56,-4.86,-2.11149
-2.40,2.46,-3.52,-1.58361
0.29,7.40,-1.57,-0.79181
-3.92,10.26,-12.24,0.26394
-3.80,-0.10,-2.73,-1.31968
-0.63,-11.50,2.21,0.00000
-0.75,-14.00,4.40,1.05574
-2.94,0.26,-1.57,1.05574
2.48,-14.37,7.45,0.79181
8.52,-10.65,9.71,1.84755
4.62,-6.44,5.81,0.52787
2.12,-7.05,9.71,1.31968
4.98,-9.80,7.39,2.11149
-0.02,-13.03,3.92,0.26394
5.23,-12.05,5.50,-1.58361
10.29,-9.55,9.83,-1.31968
-0.02,-8.46,-1.94,1.31968
-1.48,-9.98,2.27,0.26394
-2.58,-6.87,-0.05,0.79181
-7.46,3.62,-7.36,0.26394
-0.93,3.86,-6.45,0.52787
-0.38,1.67,-5.47,0.26394
0.17,6.12,-0.60,0.26394
-1.24,14.04,-6.02,-0.26394
-2.52,10.51,-2.61,0.52787
-1.36,3.86,-2.00,0.79181
-1.05,12.58,-2.24,0.00000
2.97,11.60,-0.84,-1.05574
1.51,11.48,1.54,0.79181
-1.24,13.31,-4.56,-0.52787
-1.05,11.12,-3.03,0.00000
-1.42,9.65,-1.75,0.26394
1.08,13.19,-4.50,-0.79181
9.07,-0.04,4.10,0.26394
2.73,6.91,-0.78,0.79181
10.71,4.78,7.51,0.79181
-2.27,-4.07,0.08,0.00000
2.18,-5.16,10.26,1.05574
-0.14,-7.36,7.64,0.79181
2.30,-10.77,0.81,1.31968
9.13,-8.88,3.92,1.58361
0.90,-6.44,5.32,0.00000
6.14,-9.61,7.27,0.79181
-1.66,-6.69,-1.39,1.31968
0.29,-12.18,5.87,1.58361
8.76,-14.00,14.16,2.37542
0.47,-7.30,-1.33,-0.26394
-1.66,-9.98,3.12,-0.26394
-0.63,-14.00,6.17,0.00000
4.50,-10.16,7.09,0.00000
1.75,-6.08,3.25,-0.52787
3.34,-7.05,6.84,1.05574
6.02,-4.86,10.32,0.26394
4.13,1.12,-1.45,0.79181
0.17,12.03,0.26,0.26394
3.34,6.18,1.23,0.26394
-3.07,3.92,-6.20,-0.79181
-1.48,-10.35,4.10,0.52787
1.32,-9.07,2.27,-1.31968
2.91,-6.50,5.01,-0.79181
0.59,-5.65,6.48,-0.79181
0.35,8.50,-0.90,-0.26394
-5.75,7.34,-1.75,0.26394
-3.49,3.25,-8.58,-0.26394
0.84,-8.33,2.27,1.31968
6.69,-5.22,9.53,-0.52787
0.29,-3.70,-0.84,-1.05574
-4.53,10.14,-6.33,-0.26394
-7.03,9.78,-12.91,-0.26394
-5.44,3.31,-8.77,-0.79181
2.73,-14.00,3.25,-0.52787
-3.49,-3.52,-5.84,-0.79181
1.57,4.53,-2.24,-1.31968
-2.88,11.24,-2.42,-1.05574
4.37,5.87,0.99,1.31968
-0.20,3.13,-6.81,1.05574
-1.72,-6.44,1.90,-0.52787
3.09,-13.33,5.93,0.26394
-2.70,-3.94,9.22,-0.26394
0.10,-6.93,5.93,-0.52787
-3.00,13.62,-3.95,-0.52787
-11.24,11.73,-18.34,-0.52787
-2.88,8.31,-10.84,-1.05574
-1.91,1.67,1.48,-0.79181
2.18,-14.74,8.49,0.52787
-0.81,-8.27,-3.89,0.79181
-0.87,-5.65,7.21,0.79181
-1.85,1.30,-7.06,0.26394
6.08,7.95,0.50,-0.79181
1.69,11.06,-0.47,-1.31968
-6.42,7.46,-4.99,1.31968
-3.13,6.12,1.97,-0.52787
-2.33,-10.41,1.78,-1.05574
3.21,-11.26,3.55,-0.79181
-1.97,-8.64,-0.72,0.26394
-0.08,-7.60,7.39,-0.26394
