,x-axis,y-axis,z-axis,volatge,current
356,-3.06,0.39,1.59,2441.406,-3167.229
357,0.47,-2.9,0.12,2441.406,-3167.229
358,1.02,9.48,-0.24,2446.289,-2903.294
359,0.35,-14.85,1.59,2441.406,-3167.229
360,1.08,12.89,-4.69,2460.937,-2111.487
361,0.23,-21.68,-0.24,2465.82,-1847.551
362,-4.35,16.37,-1.7,2426.758,-3959.037
363,1.14,-0.22,-3.35,2441.406,-3167.229
364,-1.66,1.24,3.17,2465.82,-1847.551
365,2.61,-0.59,-2.25,2436.523,-3431.166
366,-1.78,-0.22,3.17,2460.937,-2111.487
367,0.59,-3.51,-2.8,2426.758,-3959.037
368,-1.42,4.05,0,2446.289,-2903.294
369,3.52,-2.66,-0.73,2451.172,-2639.358
370,-1.36,2.46,-1.28,2490.234,-527.872
371,0.9,-5.95,0.8,2451.172,-2639.358
372,-0.75,4.9,-0.12,2436.523,-3431.166
373,1.14,-5.65,2.99,2451.172,-2639.358
374,-1.48,2.77,-2.44,2451.172,-2639.358
375,1.75,-6.74,2.87,2446.289,-2903.294
376,1.45,-0.04,-2.5,2446.289,-2903.294
377,2,1,1.34,2475.586,-1319.679
378,-0.38,-0.22,-1.1,2441.406,-3167.229
379,1.94,-6.62,3.23,2465.82,-1847.551
380,-2.15,3.44,-1.77,2446.289,-2903.294
381,4.01,-2.6,1.59,2456.055,-2375.422
382,-2.58,0.27,-1.58,2456.055,-2375.422
383,3.7,2.71,0.06,2426.758,-3959.037
384,-1.97,-7.17,-0.42,2451.172,-2639.358
385,3.28,3.32,-0.61,2441.406,-3167.229
386,-1.72,-7.84,-0.91,2451.172,-2639.358
387,0.47,5.15,1.89,2446.289,-2903.294
388,-0.38,-13.57,-0.97,2460.937,-2111.487
389,-2.39,10.82,4.58,2426.758,-3959.037
390,3.64,-9,-3.84,2446.289,-2903.294
391,-2.15,10.7,-0.42,2446.289,-2903.294
392,4.01,-11.99,-1.16,2451.172,-2639.358
393,-2.27,8.26,-0.97,2456.055,-2375.422
394,1.63,-4.55,0.12,2441.406,-3167.229
395,-2.52,5.02,-1.4,2480.469,-1055.743
396,-0.69,4.9,1.34,2456.055,-2375.422
397,0.78,0.76,-1.22,2441.406,-3167.229
398,1.39,-1.74,0.55,2431.641,-3695.101
399,-2.15,1.37,-3.11,2441.406,-3167.229
400,3.76,-4.67,2.2,2470.703,-1583.615
401,-2.88,3.74,-3.96,2436.523,-3431.166
402,2.06,-1.87,2.32,2431.641,-3695.101
403,-1.91,-3.82,-0.55,2441.406,-3167.229
404,1.87,13.99,1.34,2451.172,-2639.358
405,-0.02,-13.94,-5.42,2446.289,-2903.294
406,-2.58,5.02,1.71,2451.172,-2639.358
407,1.2,-5.28,-0.85,2441.406,-3167.229
408,-1.6,5.33,1.28,2460.937,-2111.487
409,-0.2,-5.46,-0.42,2460.937,-2111.487
410,-1.3,1.37,-2.38,2456.055,-2375.422
411,2.24,0.21,5.25,2451.172,-2639.358
412,1.02,-3.15,-3.84,2446.289,-2903.294
413,1.45,-7.11,2.81,2456.055,-2375.422
414,-2.58,6.12,-0.49,2465.82,-1847.551
415,3.58,-3.09,4.33,2465.82,-1847.551
416,-3.25,-0.59,-5.73,2441.406,-3167.229
417,1.45,3.68,1.4,2436.523,-3431.166
418,-1.72,-6.38,-2.25,2456.055,-2375.422
419,0.9,2.1,3.9,2436.523,-3431.166
420,1.45,-1.8,-1.7,2421.875,-4222.973
421,-3.92,8.26,1.95,2460.937,-2111.487
422,4.98,-11.68,0.92,2436.523,-3431.166
423,0.41,3.32,4.03,2456.055,-2375.422
424,0.84,-6.07,-0.67,2441.406,-3167.229
425,-0.14,-0.22,2.62,2465.82,-1847.551
426,1.63,2.34,-0.79,2446.289,-2903.294
427,1.81,-7.9,3.42,2446.289,-2903.294
428,0.78,6.24,-0.3,2431.641,-3695.101
429,-1.66,-6.93,4.15,2451.172,-2639.358
430,2,13.74,-0.73,2470.703,-1583.615
431,-0.63,-6.99,2.08,2446.289,-2903.294
432,2,-2.23,1.16,2441.406,-3167.229
433,-3.67,0.94,-3.53,2451.172,-2639.358
434,3.76,4.05,4.39,2451.172,-2639.358
435,-0.14,-15.77,-2.8,2460.937,-2111.487
436,-0.32,8.26,4.21,2441.406,-3167.229
437,1.39,-0.46,-5,2465.82,-1847.551
438,-1.11,10.51,4.64,2470.703,-1583.615
439,2.85,-5.89,-2.25,2431.641,-3695.101
440,-1.24,-9.43,4.39,2451.172,-2639.358
441,3.64,2.65,-2.38,2456.055,-2375.422
442,-2.58,-1.68,1.77,2460.937,-2111.487
443,2.06,3.56,-0.85,2456.055,-2375.422
444,1.63,-1.44,2.32,2431.641,-3695.101
445,0.72,1.24,2.14,2451.172,-2639.358
446,-1.66,7.28,-5.85,2446.289,-2903.294
447,2.36,-9.3,5.61,2436.523,-3431.166
448,-0.26,10.15,-4.27,2446.289,-2903.294
449,0.84,-2.78,1.16,2465.82,-1847.551
450,-1.17,-0.4,0.31,2451.172,-2639.358
451,1.63,1.49,-2.31,2421.875,-4222.973
452,-2.64,-0.22,-2.68,2436.523,-3431.166
453,2.36,-2.72,1.53,2431.641,-3695.101
454,-2.94,0.33,-2.01,2451.172,-2639.358
455,3.03,-3.15,-0.55,2441.406,-3167.229
456,-1.78,3.99,-2.13,2436.523,-3431.166
457,2.85,-3.21,0.49,2421.875,-4222.973
458,-0.75,0.15,-1.64,2426.758,-3959.037
459,1.26,-3.39,1.1,2412.109,-4750.845
460,-1.36,-0.83,-0.85,2431.641,-3695.101
461,4.01,-4.06,0.67,2436.523,-3431.166
462,-3.19,-0.65,-1.58,2436.523,-3431.166
463,2.55,4.41,2.56,2446.289,-2903.294
464,-1.36,-0.83,-2.19,2441.406,-3167.229
465,2.61,-1.01,3.17,2436.523,-3431.166
466,-1.91,-6.44,-1.03,2441.406,-3167.229
467,1.69,5.27,3.05,2421.875,-4222.973
468,-0.5,-13.02,-0.36,2456.055,-2375.422
469,-1.54,11.43,2.93,2436.523,-3431.166
470,0.11,-13.88,-2.74,2431.641,-3695.101
471,-0.81,10.39,5.49,2446.289,-2903.294
472,4.01,-13.09,-4.27,2436.523,-3431.166
473,-1.72,6.79,2.56,2436.523,-3431.166
474,4.86,-13.02,-1.28,2446.289,-2903.294
475,-2.64,9.48,0.19,2431.641,-3695.101
476,2.67,-3.76,0.31,2436.523,-3431.166
477,-2.52,2.28,-0.61,2465.82,-1847.551
478,1.75,-5.77,-3.29,2456.055,-2375.422
479,-0.69,3.13,0.37,2460.937,-2111.487
480,2.3,-2.17,-0.61,2480.469,-1055.743
481,-2.33,5.39,-1.22,2460.937,-2111.487
482,2.61,-3.7,-1.83,2431.641,-3695.101
483,-0.44,0.45,0.37,2480.469,-1055.743
484,1.75,-9.06,-3.6,2446.289,-2903.294
485,-2.52,8.38,-1.7,2426.758,-3959.037
486,3.09,-10.59,2.44,2446.289,-2903.294
487,-2.45,4.05,-0.55,2451.172,-2639.358
488,4.01,-8.39,-0.06,2446.289,-2903.294
489,-1.11,7.77,4.21,2460.937,-2111.487
490,1.26,-9.79,-1.89,2470.703,-1583.615
491,-1.36,3.5,0.67,2441.406,-3167.229
492,2.24,-4.61,0.12,2456.055,-2375.422
493,0.11,-1.93,-0.36,2475.586,-1319.679
494,2.48,-8.45,3.17,2470.703,-1583.615
495,-2.03,6.06,-0.97,2446.289,-2903.294
496,0.41,-3.76,1.95,2465.82,-1847.551
497,-0.69,0.7,-0.49,2480.469,-1055.743
498,0.05,-2.29,0.73,2441.406,-3167.229
499,-1.85,-0.77,3.42,2490.234,-527.872
500,-0.38,0.76,-4.2,2451.172,-2639.358
501,-1.72,8.32,0.06,2470.703,-1583.615
502,2.55,-7.05,1.28,2441.406,-3167.229
503,-0.2,11.18,-1.64,2441.406,-3167.229
504,3.46,-3.88,-0.36,2460.937,-2111.487
505,-3.61,6.12,-4.14,2470.703,-1583.615
506,3.34,-20.59,5.92,2451.172,-2639.358
507,-2.88,13.01,-7.8,2456.055,-2375.422
508,0.29,-14.12,3.9,2465.82,-1847.551
509,-0.38,15.69,-3.53,2446.289,-2903.294
510,1.63,-6.32,5,2441.406,-3167.229
511,1.02,-6.5,0.55,2436.523,-3431.166
512,-0.93,9.29,-1.52,2465.82,-1847.551
513,-0.69,-2.66,4.15,2441.406,-3167.229
514,1.26,-6.32,-0.67,2465.82,-1847.551
515,0.41,-5.77,-1.77,2446.289,-2903.294
516,6.39,4.72,0.12,2456.055,-2375.422
517,-1.6,8.87,-7.31,2460.937,-2111.487
518,2.24,-16.68,2.69,2460.937,-2111.487
519,0.41,6.79,-5.36,2441.406,-3167.229
520,1.63,-8.94,6.22,2441.406,-3167.229
521,-0.56,13.26,-6.95,2451.172,-2639.358
522,-1.78,3.5,0.86,2436.523,-3431.166
523,-2.94,0.33,0.61,2431.641,-3695.101
524,1.94,7.77,-5.61,2456.055,-2375.422
525,-1.48,3.99,-3.05,2441.406,-3167.229
