0
"['-1.05574', '28.00']"
"['', '28.00']"
"['0.42', '0.03', '0.08', '5.00000', '0.00000', '28.00']"
"['-2.08', '0.82', '-1.26', '4.94141', '-1.58361', '28.00']"
"['-1.53', '2.34', '-8.21', '5.00000', '0.00000', '28.00']"
"['-5.49', '10.21', '-7.66', '4.97070', '-0.79181', '28.00']"
"['-4.27', '7.34', '-3.03', '5.00000', '0.00000', '28.00']"
"['-3.60', '8.50', '-4.74', '5.02930', '0.79181', '28.00']"
"['0.91', '-7.05', '-2.05', '4.98047', '-0.52787', '28.00']"
"['3.11', '-4.73', '-0.41', '5.00000', '0.00000', '28.00']"
"['3.90', '-8.27', '4.41', '4.98047', '-0.52787', '28.00']"
"['6.77', '-11.93', '5.87', '4.94141', '-1.58361', '28.00']"
"['3.41', '-3.88', '3.25', '4.96094', '-1.05574', '28.00']"
"['2.62', '-6.86', '-0.59', '4.96094', '-1.05574', '28.00']"
"['2.99', '-6.44', '0.99', '4.99023', '-0.26394', '28.00']"
"['2.19', '-8.82', '0.45', '5.02930', '0.79181', '28.00']"
"['-0.43', '2.22', '-1.75', '5.00000', '0.00000', '28.00']"
"['-1.16', '2.28', '-0.65', '5.02930', '0.79181', '28.00']"
"['-3.72', '5.27', '-4.13', '4.97070', '-0.79181', '28.00']"
"['-0.98', '4.60', '0.20', '4.97070', '-0.79181', '28.00']"
"['-3.54', '4.78', '-1.08', '5.00977', '0.26394', '28.00']"
"['-2.50', '5.70', '-4.37', '5.00000', '0.00000', '28.00']"
"['-1.89', '-0.34', '-2.18', '5.01953', '0.52787', '28.00']"
"['-0.43', '1.92', '-0.23', '4.96094', '-1.05574', '28.00']"
"['-1.83', '4.23', '2.27', '4.99023', '-0.26394', '28.00']"
"['-3.66', '8.44', '-9.25', '4.97070', '-0.79181', '28.00']"
"['3.96', '-6.68', '1.60', '5.05859', '1.58361', '28.00']"
"['3.90', '-6.80', '2.64', '5.00000', '0.00000', '28.00']"
"['1.03', '-3.82', '7.64', '4.97070', '-0.79181', '28.00']"
"['3.17', '-1.44', '3.92', '5.00000', '0.00000', '28.00']"
"['5.79', '-7.72', '2.64', '4.98047', '-0.52787', '28.00']"
"['6.03', '-6.68', '0.02', '5.03906', '1.05574', '28.00']"
"['2.44', '2.83', '5.14', '5.00000', '0.00000', '28.00']"
"['-2.14', '4.90', '1.05', '4.94141', '-1.58361', '28.00']"
"['-8.48', '18.32', '-11.63', '4.97070', '-0.79181', '28.00']"
"['-1.47', '5.64', '-2.30', '4.99023', '-0.26394', '28.00']"
"['-3.17', '4.17', '-6.32', '5.00977', '0.26394', '28.00']"
"['-1.59', '2.95', '0.26', '4.97070', '-0.79181', '28.00']"
"['-2.75', '7.83', '-3.52', '4.99023', '-0.26394', '28.00']"
"['-4.39', '6.73', '-2.54', '4.98047', '-0.52787', '28.00']"
"['1.46', '-4.00', '7.58', '5.00977', '0.26394', '28.00']"
"['3.05', '-7.35', '0.69', '4.98047', '-0.52787', '28.00']"
