,x-axis,y-axis,z-axis,voltage,current,temperature
108,-0.1,4.39,-1.6,2587.891,4750.845,32
109,-1.87,0.73,-2.95,2597.656,5278.716,32
110,-1.81,6.52,-2.34,2573.242,3959.037,32
111,2.82,-7.75,1.93,2592.773,5014.78,32
112,1.36,-3.78,3.88,2573.242,3959.037,32
113,-1.08,-2.38,-0.08,2568.359,3695.101,32
114,-4.8,8.84,-3.86,2583.008,4486.909,32
115,-2.79,1.52,-5.02,2578.125,4222.973,32
116,1.36,-6.22,4.55,2578.125,4222.973,32
117,5.38,-8.11,3.52,2563.477,3431.166,32
118,1.05,0.61,1.26,2578.125,4222.973,32
119,-0.47,2.31,1.57,2578.125,4222.973,32
120,-2.6,1.28,-5.2,2573.242,3959.037,32
121,0.02,0.91,-5.69,2587.891,4750.845,32
122,2.94,-8.24,2.54,2592.773,5014.78,32
123,1.85,-2.87,1.69,2612.305,6070.524,32
124,-7.67,6.89,-9.84,2573.242,3959.037,32
125,-4.56,6.7,-6.73,2578.125,4222.973,32
126,-0.17,-2.44,1.02,2573.242,3959.037,32
127,1.48,0.73,-0.14,2568.359,3695.101,32
128,2.82,-0.98,2.91,2597.656,5278.716,32
129,-3.46,4.75,-1.42,2563.477,3431.166,32
130,-1.93,4.45,-7.95,2602.539,5542.652,32
131,-1.75,5.79,-1.85,2583.008,4486.909,32
132,1.11,-3.48,3.15,2583.008,4486.909,32
133,2.09,-4.03,3.46,2583.008,4486.909,32
134,1.3,1.76,-0.08,2563.477,3431.166,32
135,-3.58,3.59,-6.18,2612.305,6070.524,32
136,-2.54,9.14,-5.32,2597.656,5278.716,32
137,1.54,-5.74,1.26,2597.656,5278.716,32
138,4.59,-5.86,8.58,2578.125,4222.973,32
139,1.36,-0.92,3.52,2592.773,5014.78,32
140,-2.67,4.02,-3.86,2578.125,4222.973,32
141,-3.4,8.78,-6.36,2597.656,5278.716,32
142,-0.84,2.44,3.03,2573.242,3959.037,32
143,5.5,-9.09,3.58,2553.711,2903.294,32
144,-1.93,2.5,-1.48,2568.359,3695.101,32
145,-0.53,2.25,-2.76,2563.477,3431.166,32
146,-4.68,4.45,-3.43,2568.359,3695.101,32
147,-5.53,14.2,-7.64,2587.891,4750.845,32
148,1.91,-6.53,2.24,2583.008,4486.909,32
149,3.19,-4.7,5.77,2563.477,3431.166,32
150,-0.17,-4.76,-4.84,2573.242,3959.037,32
151,-4.43,6.89,-2.76,2563.477,3431.166,32
152,-3.03,5,-3.25,2563.477,3431.166,32
153,-0.71,-2.2,0.16,2568.359,3695.101,32
154,4.47,-8.78,3.4,2563.477,3431.166,32
155,1.24,2.07,1.87,2578.125,4222.973,32
156,0.26,1.09,1.99,2578.125,4222.973,32
157,-5.23,7.98,-5.69,2583.008,4486.909,32
158,-2.06,4.08,0.04,2583.008,4486.909,32
159,4.53,-8.17,7.36,2583.008,4486.909,32
160,2.76,-0.92,5.59,2583.008,4486.909,32
161,-7.79,17.92,-5.2,2553.711,2903.294,32
162,-1.26,2.74,-3.62,2587.891,4750.845,32
163,-2.3,1.83,-0.93,2583.008,4486.909,32
164,1.36,2.44,-0.26,2587.891,4750.845,32
165,3.43,-3.85,5.59,2602.539,5542.652,32
166,-1.87,2.56,-1.97,2563.477,3431.166,32
167,-8.89,10.24,-10.26,2583.008,4486.909,32
168,-4.98,7.92,-4.1,2573.242,3959.037,32
169,2.88,-5.74,5.47,2563.477,3431.166,32
170,1.91,2.62,1.87,2583.008,4486.909,32
171,1.24,2.74,-2.09,2568.359,3695.101,32
172,-5.84,13.59,-2.95,2587.891,4750.845,32
173,-2.42,2.56,-10.08,2543.945,2375.422,32
174,3.07,-8.42,1.5,2558.594,3167.229,32
175,2.46,-8.11,6.38,2568.359,3695.101,32
176,-2.67,5.48,-6.54,2573.242,3959.037,32
177,-5.23,5.61,-5.51,2568.359,3695.101,32
178,-1.08,4.57,-2.89,2568.359,3695.101,32
179,-1.51,-1.47,-2.76,2587.891,4750.845,32
180,2.33,-4.09,4.25,2568.359,3695.101,32
181,3.19,-2.32,1.93,2597.656,5278.716,32
182,-5.41,8.9,-8.56,2573.242,3959.037,32
183,-1.93,1.7,-4.23,2568.359,3695.101,32
184,4.22,-5.25,3.82,2602.539,5542.652,32
185,4.22,-4.82,6.44,2587.891,4750.845,32
186,1.36,-1.53,-0.2,2573.242,3959.037,32
187,-4.86,10.36,-2.46,2592.773,5014.78,32
188,-3.95,8.23,-8.19,2578.125,4222.973,32
189,0.2,-2.08,0.65,2597.656,5278.716,32
190,4.41,-4.82,5.47,2587.891,4750.845,32
191,2.4,-4.82,1.5,2587.891,4750.845,32
192,-3.34,3.17,-3.68,2578.125,4222.973,32
193,-1.63,7.37,-4.41,2587.891,4750.845,32
194,0.57,-2.2,1.69,2607.422,5806.588,32
195,3.8,-3.78,5.71,2573.242,3959.037,32
196,1.66,-3.3,1.26,2602.539,5542.652,32
197,-3.28,6.83,-6.24,2578.125,4222.973,32
198,-4.13,7.25,-3.01,2578.125,4222.973,32
199,-3.46,4.69,-3.37,2578.125,4222.973,32
200,6.66,-7.56,3.03,2573.242,3959.037,32
201,4.71,-7.63,3.64,2583.008,4486.909,32
202,-3.4,7.13,-5.63,2592.773,5014.78,32
203,-3.46,1.95,-7.4,2573.242,3959.037,32
204,-0.35,-2.87,1.38,2583.008,4486.909,32
205,4.65,-4.88,2.66,2583.008,4486.909,32
206,-0.1,-1.71,2.79,2578.125,4222.973,32
207,-2.42,7.68,3.76,2573.242,3959.037,32
208,-5.04,6.83,-2.28,2573.242,3959.037,32
209,-2,3.05,-1.91,2553.711,2903.294,32
210,9.29,-5.86,11.26,2587.891,4750.845,32
211,3.68,-2.5,6.14,2568.359,3695.101,32
212,-0.78,3.41,-2.34,2578.125,4222.973,32
213,1.79,-2.44,2.48,2612.305,6070.524,32
214,-1.51,6.22,-3.92,2558.594,3167.229,32
215,4.9,-8.17,4.92,2553.711,2903.294,32
216,6.91,-6.83,10.59,2578.125,4222.973,32
217,-1.2,5.91,-0.63,2558.594,3167.229,32
218,-2.85,1.89,-4.23,2573.242,3959.037,32
219,2.4,-8.6,5.22,2592.773,5014.78,32
220,5.57,-5.55,6.26,2587.891,4750.845,32
221,1.11,1.46,0.1,2558.594,3167.229,32
222,-1.08,2.25,1.08,2602.539,5542.652,32
223,-0.84,1.83,-3.56,2558.594,3167.229,32
224,4.1,-4.15,2.72,2573.242,3959.037,32
225,5.14,-8.36,8.15,2578.125,4222.973,32
