x-axis,y-axis,z-axis,voltage,current,temp
3.87,-9.3,4.7,5.10742,2.90329,24
2.29,-1.92,-1.46,5.09766,2.63936,24
2.59,-8.62,4.33,5.07812,2.11149,24
-1.86,6.38,-0.6,5.04883,1.31968,24
-6.31,11.07,-5.6,5.07812,2.11149,24
-4.91,10.46,-5.85,5.04883,1.31968,24
0.76,-1.25,0.61,5.06836,1.84755,24
-1.13,2.41,-3.71,5.07812,2.11149,24
2.72,-9.6,0.19,5.05859,1.58361,24
6.92,-4.72,6.04,5.08789,2.37542,24
-0.09,2.23,-0.6,5.05859,1.58361,24
-2.59,5.52,-3.84,5.09766,2.63936,24
-4.78,4.79,-6.95,5.07812,2.11149,24
-1.43,-6.25,-0.24,5.11719,3.16723,24
-4.11,13.33,-1.52,5.08789,2.37542,24
-0.88,8.45,-2.37,5.11719,3.16723,24
2.29,-6.61,2.69,5.14648,3.95904,24
3.26,-4.11,5,5.10742,2.90329,24
-2.47,3.14,-0.06,5.09766,2.63936,24
-2.47,7.05,-0.12,5.05859,1.58361,24
-0.39,7.72,6.41,5.10742,2.90329,24
-3.81,4.97,-13.23,5.12695,3.43117,24
-2.47,6.62,-0.6,5.09766,2.63936,24
0.58,-5.03,1.1,5.07812,2.11149,24
1.31,-11.61,11.9,5.08789,2.37542,24
4.79,-3.75,5.8,5.10742,2.90329,24
-1.43,3.02,1.29,5.07812,2.11149,24
-2.53,2.53,1.22,5.06836,1.84755,24
-0.76,6.8,-3.47,5.09766,2.63936,24
-0.88,4,-5.85,5.08789,2.37542,24
-3.32,14.12,-2.98,5.11719,3.16723,24
2.17,-5.88,-1.89,5.10742,2.90329,24
2.53,-9.05,6.22,5.11719,3.16723,24
5.34,-11.8,3.18,5.10742,2.90329,24
3.57,-7.59,2.2,5.09766,2.63936,24
3.69,-8.38,0.8,5.10742,2.90329,24
1.56,-0.39,3.6,5.12695,3.43117,24
-3.93,10.4,-5.12,5.09766,2.63936,24
-2.41,7.96,-3.41,5.11719,3.16723,24
0.28,1.99,1.65,5.09766,2.63936,24
0.95,0.4,4.15,5.10742,2.90329,24
-0.21,-0.45,3.18,5.07812,2.11149,24
0.7,-0.21,2.02,5.13672,3.6951,24
0.46,-6.19,-3.78,5.11719,3.16723,24
-0.7,1.68,0.86,5.11719,3.16723,24
-2.53,5.1,-1.09,5.09766,2.63936,24
-1.43,5.83,0.19,5.09766,2.63936,24
-6.43,10.22,-5.67,5.10742,2.90329,24
-5.82,15.83,-0.36,5.14648,3.95904,24
-3.02,7.66,-4.63,5.13672,3.6951,24
0.03,1.8,-2.37,5.11719,3.16723,24
3.45,1.62,3.66,5.13672,3.6951,24
4.67,-8.38,3.66,5.09766,2.63936,24
-0.09,1.31,0.86,5.12695,3.43117,24
3.94,-6,0.98,5.09766,2.63936,24
0.52,6.62,0.25,5.09766,2.63936,24
-1.37,7.53,-1.95,5.10742,2.90329,24
-4.97,14.12,-3.9,5.13672,3.6951,24
2.84,-6.31,3.11,5.08789,2.37542,24
-0.03,1.5,0.49,5.14648,3.95904,24
0.22,0.4,2.93,5.12695,3.43117,24
4.48,-9.48,6.96,5.10742,2.90329,24
2.59,2.84,4.76,5.12695,3.43117,24
2.96,-10.82,2.69,5.09766,2.63936,24
-1,2.96,0,5.08789,2.37542,24
-2.47,4.12,-0.6,5.11719,3.16723,24
-0.94,8.88,-5.67,5.17578,4.75084,24
-2.59,11.68,-2.19,5.09766,2.63936,24
-3.44,9.06,-4.51,5.08789,2.37542,24
-3.32,2.66,-1.95,5.11719,3.16723,24
-0.52,-3.81,0.49,5.13672,3.6951,24
2.65,0.03,2.81,5.10742,2.90329,24
2.35,-3.75,3.79,5.11719,3.16723,24
2.17,-7.34,1.04,5.11719,3.16723,24
-0.52,0.03,-0.06,5.10742,2.90329,24
3.08,-7.16,2.2,5.17578,4.75084,24
0.15,7.11,1.1,5.11719,3.16723,24
-2.41,-4.36,-4.51,5.18555,5.01478,24
3.39,-3.5,-1.15,5.08789,2.37542,24
-0.15,2.17,-1.28,5.10742,2.90329,24
1.8,-7.77,2.38,5.12695,3.43117,24
5.58,-9.3,14.03,5.10742,2.90329,24
-0.52,-2.77,3.18,5.14648,3.95904,24
4.97,-12.4,5.49,5.15625,4.22297,24
-0.7,4.85,2.99,5.13672,3.6951,24
-7.47,9,-2.31,5.12695,3.43117,24
-1.31,8.75,-5.3,5.17578,4.75084,24
-4.6,10.16,-5.48,5.10742,2.90329,24
-6.61,8.94,-9.57,5.13672,3.6951,24
-3.02,14.49,-1.76,5.07812,2.11149,24
1.01,-2.04,2.08,5.08789,2.37542,24
3.87,-2.89,3.91,5.10742,2.90329,24
1.56,0.16,0.31,5.15625,4.22297,24
-3.44,5.83,-1.46,5.12695,3.43117,24
-3.2,3.02,-2.5,5.11719,3.16723,24
0.58,5.7,-1.15,5.15625,4.22297,24
-5.21,8.51,-4.02,5.13672,3.6951,24
-2.22,2.53,-7.98,5.13672,3.6951,24
0.34,-3.75,1.59,5.13672,3.6951,24
1.5,-3.56,3.79,5.17578,4.75084,24
6.86,-10.27,10.61,5.10742,2.90329,24
3.45,-3.69,2.75,5.17578,4.75084,24
4.97,-3.75,5.98,5.11719,3.16723,24
1.62,-10.51,2.32,5.17578,4.75084,24
-0.33,6.07,-4.93,5.15625,4.22297,24
-4.24,5.83,-5.48,5.11719,3.16723,24
-6.61,10.03,-4.87,5.15625,4.22297,24
-0.39,-0.58,-2.8,5.10742,2.90329,24
-0.03,0.83,-3.17,5.14648,3.95904,24
-0.03,-4.66,0,5.16602,4.48691,24
0.4,-0.45,0.55,5.20508,5.54265,24
3.26,-4.97,6.29,5.14648,3.95904,24
3.63,-3.32,2.93,5.16602,4.48691,24
-1.43,5.34,-2.62,5.13672,3.6951,24
-1.61,6.25,-2.5,5.12695,3.43117,24
-0.21,2.17,1.9,5.15625,4.22297,24
-1.86,6.5,-1.28,5.11719,3.16723,24
-1.31,5.89,-5,5.12695,3.43117,24
-5.15,9.79,-3.47,5.16602,4.48691,24
-0.15,-1.06,3.97,5.11719,3.16723,24
-1.25,3.33,2.02,5.16602,4.48691,24
0.58,-3.01,3.05,5.13672,3.6951,24
-2.71,2.9,-4.14,5.15625,4.22297,24
0.4,3.45,3.18,5.16602,4.48691,24
0.95,-9.9,-2.37,5.19531,5.27872,24
2.41,-1.19,3.24,5.17578,4.75084,24
4.3,-5.39,5.98,5.12695,3.43117,24
5.89,-8.81,11.53,5.17578,4.75084,24
0.83,-5.58,-0.97,5.18555,5.01478,24
2.72,-5.39,5.37,5.24414,6.5984,24
6.86,-14.17,5.07,5.06836,1.84755,24
1.44,-0.15,-0.73,5.0293,0.79181,24
-3.32,6.86,-3.04,5.01953,0.52787,24
-2.35,10.4,-3.23,5.06836,1.84755,24
-4.6,12.66,-3.96,5.07812,2.11149,24
0.09,2.35,-0.67,5.14648,3.95904,24
-1,3.63,-0.42,5.12695,3.43117,24
-0.39,2.05,-4.87,5.09766,2.63936,24
1.44,-2.34,6.53,5.09766,2.63936,24
-0.45,-0.51,3.3,5.09766,2.63936,24
0.64,-4.54,-2.74,5.16602,4.48691,24
0.76,-4.72,-0.6,5.12695,3.43117,24
3.57,1.74,4.58,5.18555,5.01478,24
3.69,1.86,5.43,5.12695,3.43117,24
2.41,-3.87,4.88,5.14648,3.95904,24
