,x-axis,y-axis,z-axis,volatge,current
447,-1.4,-0.3,-2.58,2500,0
448,4.82,3.42,0.53,2436.523,-3431.166
449,5.31,-5.42,-2.82,2475.586,-1319.679
450,-2.07,-1.21,-3.68,2456.055,-2375.422
451,3.79,4.64,1.63,2456.055,-2375.422
452,1.9,-12.49,-2.46,2431.641,-3695.101
453,-0.6,3.24,0.29,2387.695,-6070.524
454,-2.19,-0.3,1.93,2480.469,-1055.743
455,-1.64,-10.17,1.93,2426.758,-3959.037
456,-3.29,6.9,1.2,2475.586,-1319.679
457,-1.33,3.49,-0.08,2416.992,-4486.909
458,-3.29,-3.95,-1.97,2407.227,-5014.78
459,-3.16,13.85,-1.42,2446.289,-2903.294
460,2.26,-3.22,1.02,2426.758,-3959.037
461,-2.37,-0.66,-5.69,2407.227,-5014.78
462,1.53,9.46,2.05,2397.461,-5542.652
463,3.18,-6.21,-1.48,2460.937,-2111.487
464,-1.7,-2.61,-5.81,2436.523,-3431.166
465,1.53,9.7,0.04,2431.641,-3695.101
466,2.87,-9.5,-4.47,2460.937,-2111.487
467,-1.64,-3.16,-1.85,2460.937,-2111.487
468,1.9,1.6,2.54,2416.992,-4486.909
469,-2.92,-8.1,-2.82,2456.055,-2375.422
470,-2.8,12.75,3.82,2465.82,-1847.551
471,0.43,-0.78,2.6,2421.875,-4222.973
472,-0.79,-9.5,2.54,2495.117,-263.936
473,-0.05,3.3,-6,2407.227,-5014.78
474,4.09,10.25,-0.93,2465.82,-1847.551
475,1.71,-4.44,-0.57,2412.109,-4750.845
476,-3.65,-4.38,-3.13,2407.227,-5014.78
477,-3.29,9.7,-0.08,2431.641,-3695.101
478,1.96,0.31,-0.08,2451.172,-2639.358
479,4.89,-3.65,-1.85,2446.289,-2903.294
480,-1.7,0.31,1.99,2436.523,-3431.166
481,-0.3,10.62,3.76,2465.82,-1847.551
482,-1.15,-0.3,3.33,2402.344,-5278.716
483,-2,-9.5,-2.76,2446.289,-2903.294
484,-3.29,2.45,-0.57,2451.172,-2639.358
485,-0.91,0.62,-1.42,2392.578,-5806.588
486,-2.13,-12.61,-1.67,2495.117,-263.936
487,-1.7,7.33,-0.69,2504.883,263.936
488,-1.27,-0.05,4.19,2392.578,-5806.588
489,-1.27,0.8,0.96,2416.992,-4486.909
490,0.37,12.39,3.76,2441.406,-3167.229
491,1.9,-8.83,-1.36,2436.523,-3431.166
492,-3.41,-2.98,-1.36,2426.758,-3959.037
493,3.54,4.28,-0.08,2460.937,-2111.487
494,1.29,-10.48,-3.25,2407.227,-5014.78
495,-2.07,5.44,1.57,2485.352,-791.807
496,1.65,4.34,-0.87,2441.406,-3167.229
497,-0.66,-9.87,-5.2,2504.883,263.936
498,-4.75,10.56,-1.48,2431.641,-3695.101
499,0.19,14.64,-2.58,2436.523,-3431.166
500,-3.41,-2.67,0.29,2490.234,-527.872
501,2.63,10.86,3.09,2402.344,-5278.716
502,3.79,-12.25,-1.79,2436.523,-3431.166
503,-0.18,-6.09,-1.54,2509.766,527.872
504,3.18,-3.22,1.08,2441.406,-3167.229
505,-0.79,-7.92,-0.51,2451.172,-2639.358
506,-3.35,12.27,1.08,2460.937,-2111.487
507,2.26,-3.59,-1.48,2504.883,263.936
508,2.75,0.31,2.66,2500,0
509,0.5,-1.27,0.04,2514.648,791.807
510,-2.43,-6.64,-5.2,2431.641,-3695.101
511,-3.16,-1.27,2.66,2421.875,-4222.973
512,4.7,-2.55,-2.09,2431.641,-3695.101
513,-3.77,-3.71,3.46,2426.758,-3959.037
514,3.67,2.45,-4.35,2475.586,-1319.679
515,-0.79,-3.83,-1.24,2495.117,-263.936
516,1.47,18.67,-7.76,2416.992,-4486.909
517,-0.3,-17.73,5.65,2504.883,263.936
518,1.1,13.61,2.05,2460.937,-2111.487
519,3.79,-19.5,7.18,2436.523,-3431.166
520,-0.54,4.4,-3.13,2470.703,-1583.615
521,1.84,2.2,5.53,2465.82,-1847.551
522,-1.46,-10.9,1.99,2363.281,-7390.203
523,-0.72,16.35,1.14,2431.641,-3695.101
524,3.42,-16.58,3.94,2470.703,-1583.615
525,0.01,7.94,-6.6,2475.586,-1319.679
526,3.54,-2.73,8.03,2392.578,-5806.588
527,-4.02,10.5,-4.41,2431.641,-3695.101
528,1.59,9.4,4.13,2421.875,-4222.973
