0
"['', '4.93164', '-1.84755', '24.00']"
"['-1.86', '3.74', '1.99', '4.85352', '-3.95904', '24.00']"
"['-0.03', '-4.74', '2.79', '4.91211', '-2.37542', '24.00']"
"['1.31', '-1.44', '-2.46', '4.88281', '-3.16723', '24.00']"
"['-1.25', '-4.25', '1.69', '4.82422', '-4.75084', '24.00']"
"['3.57', '3.07', '-2.70', '4.90234', '-2.63936', '24.00']"
"['-2.53', '-2.48', '4.07', '4.87305', '-3.43117', '24.00']"
"['1.92', '4.59', '-0.26', '4.87305', '-3.43117', '24.00']"
"['-2.23', '3.44', '1.32', '4.87305', '-3.43117', '24.00']"
"['-0.76', '-7.48', '1.14', '4.86328', '-3.69510', '24.00']"
"['4.97', '7.58', '-1.42', '4.83398', '-4.48691', '24.00']"
"['-4.18', '-8.45', '4.62', '4.83398', '-4.48691', '24.00']"
"['4.85', '6.36', '0.23', '4.86328', '-3.69510', '24.00']"
"['-5.95', '-7.17', '1.20', '4.83398', '-4.48691', '24.00']"
"['4.42', '6.30', '-2.95', '4.85352', '-3.95904', '24.00']"
"['-6.86', '-8.27', '4.31', '4.86328', '-3.69510', '24.00']"
"['0.95', '4.41', '-1.36', '4.86328', '-3.69510', '24.00']"
"['-2.53', '-5.04', '1.93', '4.91211', '-2.37542', '24.00']"
"['3.20', '7.89', '-3.07', '4.90234', '-2.63936', '24.00']"
"['-5.34', '-7.30', '2.24', '4.88281', '-3.16723', '24.00']"
"['3.93', '1.00', '-0.51', '4.85352', '-3.95904', '24.00']"
"['4.60', '10.63', '-5.32', '4.83398', '-4.48691', '24.00']"
"['-1.74', '-4.13', '-2.64', '4.90234', '-2.63936', '24.00']"
"['0.34', '-5.65', '-0.81', '4.90234', '-2.63936', '24.00']"
"['3.20', '7.70', '1.02', '4.86328', '-3.69510', '24.00']"
"['-6.49', '-3.64', '1.57', '4.86328', '-3.69510', '24.00']"
"['-3.87', '-4.37', '3.64', '4.88281', '-3.16723', '24.00']"
"['2.16', '0.45', '-0.69', '4.89258', '-2.90329', '24.00']"
"['4.18', '11.00', '-1.48', '4.86328', '-3.69510', '24.00']"
"['-0.95', '-0.77', '1.63', '4.84375', '-4.22297', '24.00']"
"['5.15', '1.61', '-3.37', '4.88281', '-3.16723', '24.00']"
"['1.49', '3.86', '1.45', '4.88281', '-3.16723', '24.00']"
"['-2.29', '-4.92', '0.96', '4.88281', '-3.16723', '24.00']"
"['3.38', '3.74', '0.35', '4.86328', '-3.69510', '24.00']"
"['4.36', '9.23', '4.49', '4.86328', '-3.69510', '24.00']"
"['-5.40', '-8.39', '3.34', '4.90234', '-2.63936', '24.00']"
"['3.69', '4.96', '-1.18', '4.87305', '-3.43117', '24.00']"
"['-1.62', '-4.92', '3.95', '4.85352', '-3.95904', '24.00']"
"['8.81', '7.58', '-4.41', '4.90234', '-2.63936', '24.00']"
"['-3.08', '-4.74', '4.01', '4.88281', '-3.16723', '24.00']"
"['9.66', '16.42', '1.38', '4.86328', '-3.69510', '24.00']"
"['-3.02', '-5.04', '0.47', '4.92187', '-2.11149', '24.00']"
"['-0.34', '4.17', '1.93', '4.89258', '-2.90329', '24.00']"
"['8.75', '6.48', '-4.47', '4.86328', '-3.69510', '24.00']"
"['-6.19', '-6.69', '2.91', '4.87305', '-3.43117', '24.00']"
"['2.77', '5.14', '0.59', '4.91211', '-2.37542', '24.00']"
"['-4.24', '-6.14', '0.96', '4.87305', '-3.43117', '24.00']"
"['3.57', '4.84', '-2.03', '4.87305', '-3.43117', '24.00']"
"['-2.23', '-4.74', '1.93', '4.89258', '-2.90329', '24.00']"
"['11.68', '15.14', '-3.37', '4.90234', '-2.63936', '24.00']"
"['-6.19', '-9.19', '2.60', '4.89258', '-2.90329', '24.00']"
